,city id,city,country,latitude,longitute,temperature(C),humidity(%),wind speed(mps),cloud(%),receive date
315,3408368,Acaraú,BR,-2.8856,-40.12,26.68,69,5.56,73,22-07-2022 20:55:01
316,2409019,Gberia Fotombu,SL,9.8833,-11.1667,22.4,89,2.2,100,22-07-2022 20:56:25
317,3929611,San Jerónimo,PE,-11.9472,-75.2829,5.04,73,0.52,36,22-07-2022 20:56:25
318,178077,Wote,KE,-1.7808,37.6288,24.25,39,3.76,78,22-07-2022 20:56:26
319,1253237,Verāval,IN,20.9,70.3667,28.11,81,7.46,100,22-07-2022 20:56:27
320,1328121,Bogale,MM,16.2833,95.4,24.26,90,3.19,100,22-07-2022 20:56:29
321,3515484,Tlacolula,MX,16.9542,-96.4792,16.37,90,1.43,78,22-07-2022 20:56:29
322,3470871,Barão de Melgaço,BR,-16.1944,-55.9675,21.12,44,1.23,33,22-07-2022 20:56:30
323,3670745,Riohacha,CO,11.5444,-72.9072,26.01,83,5.78,25,22-07-2022 20:56:31
324,3662927,Pauini,BR,-7.7136,-66.9764,21.08,82,0.88,15,22-07-2022 20:56:32
325,3934707,Mollendo,PE,-17.0231,-72.0147,15.05,86,3.26,86,22-07-2022 20:56:33
326,3459495,Júlio de Castilhos,BR,-29.2269,-53.6817,15.33,93,3.18,54,22-07-2022 20:56:33
327,1154689,Ko Samui,TH,9.5357,99.9357,30.95,70,5.14,40,22-07-2022 20:56:34
328,1645528,Denpasar,ID,-8.65,115.2167,26.51,83,3.6,75,22-07-2022 20:56:35
329,2240449,Luanda,AO,-8.8368,13.2343,23.0,78,2.06,75,22-07-2022 20:56:35
330,1002145,George,ZA,-33.963,22.4617,18.75,52,2.57,0,22-07-2022 20:56:36
331,209598,Manono,CD,-7.3,27.4167,34.23,22,3.8,9,22-07-2022 20:56:37
332,1850523,Tateyama,JP,34.9833,139.8667,27.28,89,9.51,6,22-07-2022 20:56:38
333,1181022,Chhor,PK,25.5167,69.7667,34.96,52,7.15,100,22-07-2022 20:56:39
334,2224827,Ngaoundéré,CM,7.3167,13.5833,22.94,73,0.0,75,22-07-2022 20:56:40
335,3384937,Miracema do Tocantins,BR,-9.5618,-48.3967,25.22,41,2.43,62,22-07-2022 20:56:40
336,1735106,George Town,MY,5.4112,100.3354,30.01,78,4.12,20,22-07-2022 20:56:41
337,3463939,Espinosa,BR,-14.9261,-42.8192,19.25,74,2.88,1,22-07-2022 20:56:42
338,3939168,Huarmey,PE,-10.0681,-78.1522,15.92,86,3.04,66,22-07-2022 20:56:42
339,1626493,Srandakan,ID,-7.9386,110.2506,25.16,78,4.88,80,22-07-2022 20:56:43
340,3996426,Matamoros,MX,25.5333,-103.25,23.62,58,1.22,92,22-07-2022 20:56:44
341,377472,Bentiu,SS,9.2333,29.8333,31.61,50,2.02,13,22-07-2022 20:56:45
342,330120,NEDJO,ET,9.5046,35.5019,19.44,86,1.67,71,22-07-2022 20:56:45
343,1633070,Palembang,ID,-2.9167,104.7458,27.05,78,1.54,75,22-07-2022 20:53:08
344,2318123,Yenagoa,NG,4.9247,6.2642,29.19,60,2.35,95,22-07-2022 20:56:47
345,2446267,Dakoro,NE,14.5106,6.765,32.88,40,3.03,100,22-07-2022 20:56:47
346,3902377,La Santisima Trinidad,BO,-14.8333,-64.9,18.99,94,1.54,0,22-07-2022 20:56:48
347,2281120,Tabou,CI,4.423,-7.3528,27.0,58,3.38,84,22-07-2022 20:56:49
348,4315067,Ascension,US,30.2169,-90.9001,23.27,95,2.04,20,22-07-2022 20:56:49
349,3723779,Jacmel,HT,18.2342,-72.5347,25.91,77,1.56,95,22-07-2022 20:56:50
350,3452712,Porto Murtinho,BR,-21.6989,-57.8825,20.23,53,2.45,24,22-07-2022 20:56:51
351,1185239,Sarankhola,BD,22.3082,89.7897,30.02,73,4.11,100,22-07-2022 20:56:52
352,3402621,Casa Nova,BR,-9.4167,-41.1333,22.26,70,8.9,65,22-07-2022 20:56:52
353,893549,Chipinge,ZW,-20.1883,32.6236,21.59,34,3.78,14,22-07-2022 20:56:53
354,924732,Nkhata Bay,MW,-11.6066,34.2907,24.08,50,2.37,3,22-07-2022 20:56:54
355,3985241,San Nicolás de los Garza,MX,25.75,-100.3,25.03,79,1.8,1,22-07-2022 20:56:55
356,3927942,Tambopata,PE,-12.7333,-69.1833,20.54,73,0.8,26,22-07-2022 20:56:55
357,3359736,Vredendal,ZA,-31.6683,18.5012,20.31,31,3.29,91,22-07-2022 20:56:56
358,3395981,Maceió,BR,-9.6658,-35.7353,23.69,88,2.06,75,22-07-2022 20:53:51
359,1800163,Nanchang,CN,28.6833,115.8833,34.11,56,2.98,60,22-07-2022 20:56:57
360,913323,Kaoma,ZM,-14.7833,24.8,26.92,25,3.58,13,22-07-2022 20:56:58
361,3448903,São João da Barra,BR,-21.6403,-41.0511,20.05,85,2.68,10,22-07-2022 20:56:59
362,3369174,Calvinia,ZA,-31.4707,19.776,20.61,27,8.04,37,22-07-2022 20:56:59
363,3893726,Constitución,CL,-35.3333,-72.4167,10.6,80,2.42,69,22-07-2022 20:57:00
364,352733,Marsá Maţrūḩ,EG,31.3525,27.2453,29.41,48,6.68,0,22-07-2022 20:57:01
365,3175096,Laas,IT,46.6166,10.7002,29.65,46,2.01,2,22-07-2022 20:57:02
366,5117949,Freeport,US,40.6576,-73.5832,25.32,72,0.45,0,22-07-2022 20:57:02
367,3451138,Rio Grande,BR,-32.035,-52.0986,14.06,99,2.14,100,22-07-2022 20:54:28
368,3467272,Capim Grosso,BR,-11.3811,-40.0128,18.8,90,3.66,100,22-07-2022 20:57:04
369,1175296,Kalat,PK,29.0225,66.5916,30.36,25,7.43,96,22-07-2022 20:57:04
370,3698141,Chota,PE,-6.55,-78.65,10.06,89,1.7,64,22-07-2022 20:57:05
371,3351663,Benguela,AO,-12.5763,13.4055,24.42,66,3.71,11,22-07-2022 20:57:06
372,921906,Domoni,KM,-12.2569,44.5319,24.83,70,1.31,65,22-07-2022 20:57:06
373,1005040,Eshowe,ZA,-28.8865,31.4699,23.88,36,4.05,0,22-07-2022 20:57:07
374,3673126,Palocabildo,CO,5.1171,-75.0173,14.82,90,2.0,100,22-07-2022 20:57:08
375,215668,Kabalo,CD,-6.05,26.9167,34.77,21,3.79,37,22-07-2022 20:57:09
376,2319133,Warri,NG,5.5167,5.75,28.87,61,3.24,98,22-07-2022 20:57:09
377,3351014,Camacupa,AO,-12.0167,17.4833,26.71,21,2.55,3,22-07-2022 20:57:10
378,3671497,Puerto Colombia,CO,10.9878,-74.9547,25.05,90,4.06,79,22-07-2022 20:57:11
379,3870243,Taltal,CL,-25.4,-70.4833,13.52,84,0.68,62,22-07-2022 20:57:12
380,1283679,Banepā,NP,27.6298,85.5214,24.18,78,0.0,75,22-07-2022 20:57:13
381,3382160,Cayenne,GF,4.9333,-52.3333,25.05,1,0.0,100,22-07-2022 20:57:14
382,2455216,Kita,ML,13.0349,-9.4895,28.09,67,3.04,92,22-07-2022 20:57:14
383,3571913,Marsh Harbour,BS,26.5412,-77.0636,28.06,74,5.85,0,22-07-2022 20:57:15
384,4565090,Guánica,PR,17.9716,-66.908,26.05,81,4.36,97,22-07-2022 20:55:04
385,245669,Adré,TD,13.4667,22.2,31.51,39,1.48,64,22-07-2022 20:57:16
386,207570,Mwene-Ditu,CD,-7.0,23.45,31.87,24,3.3,72,22-07-2022 20:57:17
387,2319257,Wamba,NG,8.9333,8.6,24.73,86,2.28,100,22-07-2022 20:57:18
388,1254709,Tezu,IN,27.9167,96.1667,26.39,86,0.63,100,22-07-2022 20:57:19
389,915471,Kalabo,ZM,-14.97,22.6814,28.07,24,4.06,19,22-07-2022 20:57:19
390,1039536,Maxixe,MZ,-23.8597,35.3472,24.91,69,3.13,75,22-07-2022 20:57:20
391,2093846,Kiunga,PG,-6.1219,141.2906,24.07,91,0.86,41,22-07-2022 20:57:21
392,2303611,Esim,GH,4.8699,-2.2405,26.25,65,2.83,93,22-07-2022 20:54:06
393,2450173,Taoudenni,ML,22.6783,-3.9836,39.09,25,3.34,7,22-07-2022 20:57:22
394,235191,Amudat,UG,1.95,34.95,26.99,43,1.03,71,22-07-2022 20:57:23
395,1040652,Maputo,MZ,-25.9653,32.5892,18.82,88,1.54,75,22-07-2022 20:54:59
396,1801850,Luorong,CN,24.4058,109.6086,30.84,71,1.74,15,22-07-2022 20:57:24
397,1082243,Ambilobe,MG,-13.2,49.05,30.73,30,5.46,8,22-07-2022 20:57:25
398,3461425,Ilhabela,BR,-23.7781,-45.3581,20.08,75,1.28,11,22-07-2022 20:52:58
399,3841956,Paraná,AR,-31.732,-60.5238,12.33,95,0.0,98,22-07-2022 20:57:26
400,964406,Port Shepstone,ZA,-30.7414,30.455,21.74,67,8.13,0,22-07-2022 20:55:58
401,1642773,Japura,ID,-0.3167,102.35,25.32,93,1.29,94,22-07-2022 20:57:28
402,3386177,Trairi,BR,-3.2778,-39.2689,26.16,72,4.42,90,22-07-2022 20:52:33
403,1265053,Lar,IN,26.2039,83.9717,33.55,56,3.18,100,22-07-2022 20:57:29
404,218680,Boende,CD,-0.2167,20.8667,31.04,55,1.46,94,22-07-2022 20:57:30
405,287286,Muscat,OM,23.6139,58.5922,33.11,67,3.7,10,22-07-2022 20:57:31
406,1215502,Banda Aceh,ID,5.5577,95.3222,28.87,71,4.76,100,22-07-2022 20:55:03
407,1006984,East London,ZA,-33.0153,27.9116,21.52,52,1.03,0,22-07-2022 20:57:32
408,3403687,Camocim,BR,-2.9022,-40.8411,26.02,70,4.13,43,22-07-2022 20:57:33
409,102527,Sakakah,SA,29.9697,40.2064,41.76,10,0.56,5,22-07-2022 20:57:34
410,110690,Abhā,SA,18.2164,42.5053,28.14,37,4.12,40,22-07-2022 20:57:35
411,3397898,Itaporanga,BR,-7.3044,-38.1503,23.19,64,4.7,72,22-07-2022 20:57:35
412,3904906,Santa Cruz de la Sierra,BO,-17.8,-63.1667,20.03,83,3.6,75,22-07-2022 20:54:07
413,3464891,Curvelo,BR,-18.7564,-44.4308,18.41,64,2.44,11,22-07-2022 20:56:47
414,2447513,Arlit,NE,18.7369,7.3853,39.67,12,3.62,87,22-07-2022 20:57:36
415,5546220,Saint George,US,37.1041,-113.5841,30.6,25,3.6,0,22-07-2022 20:55:57
416,2514651,Los Llanos de Aridane,ES,28.6585,-17.9182,23.96,78,7.2,75,22-07-2022 20:57:38
417,1272902,Dhanwār,IN,24.4167,85.9833,30.97,62,5.53,100,22-07-2022 20:57:39
418,3513563,Kralendijk,BQ,12.15,-68.2667,27.06,84,10.0,7,22-07-2022 20:57:40
419,1651103,Atambua,ID,-9.1061,124.8925,21.21,72,1.54,81,22-07-2022 20:57:40
420,3407367,Aracoiaba,BR,-4.3711,-38.8142,23.96,78,3.54,70,22-07-2022 20:57:41
421,1265555,Kuppam,IN,12.75,78.3667,28.57,56,3.13,100,22-07-2022 20:53:10
